Epoca,Erro
536,0.17488082600040958
537,0.1734718695232028
538,0.17207976563095492
539,0.17070428461388512
540,0.1693451994329647
541,0.16800228572834874
542,0.16667532182517414
543,0.16536408873687836
544,0.16406837016617698
545,0.16278795250383699
546,0.161522624825375
547,0.16027217888580758
548,0.1590364091125701
549,0.1578151125967208
550,0.156608089082538
551,0.15541514095561587
552,0.1542360732295585
553,0.15307069353136699
554,0.1519188120856111
555,0.15078024169747184
556,0.14965479773473775
557,0.14854229810883474
558,0.14744256325496072
559,0.14635541611140238
560,0.1452806820980957
561,0.14421818909449857
562,0.14316776741683604
563,0.14212924979477395
564,0.1411024713475797
565,0.14008726955981926
566,0.13908348425664152
567,0.13809095757869652
568,0.13710953395673095
569,0.1361390600859038
570,0.13517938489986242
571,0.13423035954461326
572,0.13329183735222666
573,0.1323636738144056
574,0.13144572655595083
575,0.1305378553081525
576,0.12963992188213525
577,0.12875179014218177
578,0.12787332597906143
579,0.12700439728338514
580,0.126144873919008
581,0.12529462769650027
582,0.12445353234670575
583,0.12362146349440309
584,0.12279829863208877
585,0.12198391709389494
586,0.1211782000296571
587,0.1203810303791443
588,0.11959229284646392
589,0.11881187387465246
590,0.11803966162046191
591,0.11727554592935172
592,0.11651941831069426
593,0.11577117191320327
594,0.11503070150058989
595,0.11429790342745547
596,0.11357267561542472
597,0.11285491752952619
598,0.11214453015482402
599,0.11144141597330487
600,0.11074547894102452
601,0.11005662446551676
602,0.10937475938346705
603,0.10869979193865441
604,0.10803163176016249
605,0.10737018984086114
606,0.1067153785161611
607,0.10606711144304135
608,0.10542530357935032
609,0.10478987116338108
610,0.10416073169372073
611,0.1035378039093735
612,0.1029210077701575
613,0.10231026443737397
614,0.1017054962547482
615,0.1011066267296418
616,0.10051358051453405
617,0.09992628338877119
